Year,Reg,Group,BrOAa15,BrOAa16,BrOAa17,BrOAa18,BrOAa19,BrOAa20,BrOAa21,BrOAa22,BrOAa23,BrOAa24,BrOAa25,BrOAa26,BrOAa27,BrOAa28,BrOAa29,BrOAa30,BrOAa31,BrOAa32,BrOAa33,BrOAa34,BrOAa35,BrOAa36,BrOAa37,BrOAa38,BrOAa39,BrOAa40,BrOAa41,BrOAa42,BrOAa43,BrOAa44,BrOAa45,BrOAa46,BrOAa47,BrOAa48,BrOAa49,BrOAa50,BrOAa51,BrOAa52,BrOAa53,BrOAa54,BrOAa55,BrO1a15,BrO1a16,BrO1a17,BrO1a18,BrO1a19,BrO1a20,BrO1a21,BrO1a22,BrO1a23,BrO1a24,BrO1a25,BrO1a26,BrO1a27,BrO1a28,BrO1a29,BrO1a30,BrO1a31,BrO1a32,BrO1a33,BrO1a34,BrO1a35,BrO1a36,BrO1a37,BrO1a38,BrO1a39,BrO1a40,BrO1a41,BrO1a42,BrO1a43,BrO1a44,BrO1a45,BrO1a46,BrO1a47,BrO1a48,BrO1a49,BrO1a50,BrO1a51,BrO1a52,BrO1a53,BrO1a54,BrO1a55,BrO2a15,BrO2a16,BrO2a17,BrO2a18,BrO2a19,BrO2a20,BrO2a21,BrO2a22,BrO2a23,BrO2a24,BrO2a25,BrO2a26,BrO2a27,BrO2a28,BrO2a29,BrO2a30,BrO2a31,BrO2a32,BrO2a33,BrO2a34,BrO2a35,BrO2a36,BrO2a37,BrO2a38,BrO2a39,BrO2a40,BrO2a41,BrO2a42,BrO2a43,BrO2a44,BrO2a45,BrO2a46,BrO2a47,BrO2a48,BrO2a49,BrO2a50,BrO2a51,BrO2a52,BrO2a53,BrO2a54,BrO2a55,BrO3a15,BrO3a16,BrO3a17,BrO3a18,BrO3a19,BrO3a20,BrO3a21,BrO3a22,BrO3a23,BrO3a24,BrO3a25,BrO3a26,BrO3a27,BrO3a28,BrO3a29,BrO3a30,BrO3a31,BrO3a32,BrO3a33,BrO3a34,BrO3a35,BrO3a36,BrO3a37,BrO3a38,BrO3a39,BrO3a40,BrO3a41,BrO3a42,BrO3a43,BrO3a44,BrO3a45,BrO3a46,BrO3a47,BrO3a48,BrO3a49,BrO3a50,BrO3a51,BrO3a52,BrO3a53,BrO3a54,BrO3a55,BrO4a15,BrO4a16,BrO4a17,BrO4a18,BrO4a19,BrO4a20,BrO4a21,BrO4a22,BrO4a23,BrO4a24,BrO4a25,BrO4a26,BrO4a27,BrO4a28,BrO4a29,BrO4a30,BrO4a31,BrO4a32,BrO4a33,BrO4a34,BrO4a35,BrO4a36,BrO4a37,BrO4a38,BrO4a39,BrO4a40,BrO4a41,BrO4a42,BrO4a43,BrO4a44,BrO4a45,BrO4a46,BrO4a47,BrO4a48,BrO4a49,BrO4a50,BrO4a51,BrO4a52,BrO4a53,BrO4a54,BrO4a55,BrO5a15,BrO5a16,BrO5a17,BrO5a18,BrO5a19,BrO5a20,BrO5a21,BrO5a22,BrO5a23,BrO5a24,BrO5a25,BrO5a26,BrO5a27,BrO5a28,BrO5a29,BrO5a30,BrO5a31,BrO5a32,BrO5a33,BrO5a34,BrO5a35,BrO5a36,BrO5a37,BrO5a38,BrO5a39,BrO5a40,BrO5a41,BrO5a42,BrO5a43,BrO5a44,BrO5a45,BrO5a46,BrO5a47,BrO5a48,BrO5a49,BrO5a50,BrO5a51,BrO5a52,BrO5a53,BrO5a54,BrO5a55
2015,1100,T,2440,7309,17937,35670,54459,69917,81261,87135,97354,105013,110939,116265,117204,113667,104521,99241,93068,83668,73773,63590,55377,48632,39468,31387,22952,16555,11246,6942,4070,2033,1090,539,285,146,93,61,36,25,10,8,20,2374,6945,16552,31476,45658,53868,57618,56931,60444,62797,62104,59463,53251,44210,35604,29381,23835,18951,14803,11579,9146,7658,5796,4566,3196,2243,1520,953,538,261,173,112,63,38,20,19,12,4,5,1,5,64,354,1319,3957,8047,14319,20439,25208,29962,33801,38763,44714,49931,53374,51875,50931,48573,43536,37395,31143,26100,21875,16884,12608,8736,6095,3852,2245,1237,605,313,152,88,49,24,19,13,6,1,4,7,2,10,59,217,699,1560,2843,4273,5742,6814,7906,9327,10717,12099,12775,14134,15301,15559,15727,14909,14144,13295,11355,9342,7052,5080,3466,2135,1251,654,332,128,78,37,28,19,7,9,3,4,6,0,0,6,18,47,153,321,638,1020,1302,1683,2075,2438,2828,3006,3287,3624,3751,3919,3872,3896,3709,3389,3021,2403,1838,1319,881,573,268,133,74,36,12,16,4,1,5,2,0,2,0,0,0,2,7,17,40,85,186,299,482,685,867,1156,1260,1508,1734,1870,1930,2087,2090,2095,2044,1850,1564,1298,1089,727,471,245,139,73,20,9,5,1,2,1,0,0,1
2015,1100,U,2003,6017,14076,27304,43243,56679,66760,71866,81738,93469,103129,112016,115217,113015,104755,100074,94506,85147,75195,64522,56195,49583,40251,31875,23303,16880,11367,7034,4157,2083,1126,600,329,178,113,76,43,32,13,11,26,1942,5731,13086,24442,37328,45995,50633,50876,55517,61070,63507,63022,57657,48514,39234,32468,26447,21125,16568,12849,10209,8632,6501,5176,3591,2531,1727,1091,615,294,194,139,77,47,24,24,16,5,6,1,7,60,278,935,2703,5427,9645,14234,17962,22195,27173,33133,40742,47667,52697,52628,52818,51279,46454,40318,33790,28456,24027,18597,13999,9759,6831,4307,2534,1422,680,361,184,109,61,28,24,16,7,1,5,8,0,9,49,144,458,932,1686,2615,3364,4334,5243,6596,7854,9397,10295,11765,13343,13792,14277,13756,13289,12732,10992,9069,6959,5085,3477,2164,1290,698,353,128,95,43,33,23,9,12,4,5,8,0,0,7,15,22,94,174,353,547,733,976,1261,1551,1798,1896,2146,2396,2681,2909,2892,2998,2853,2807,2420,1971,1579,1136,745,489,226,119,75,32,14,21,4,0,6,1,0,2,0,0,0,0,8,13,34,60,116,160,270,394,489,610,702,878,1041,1095,1122,1235,1243,1340,1354,1211,1023,854,720,500,341,185,99,74,16,13,7,1,1,1,0,0,1
2015,1100,R,3450,10441,27806,59771,87549,110058,128602,144029,161123,151180,141268,132243,124546,116064,103645,96093,87660,78106,68486,60109,52361,45230,36720,29700,21741,15453,10845,6640,3791,1874,975,359,161,53,39,19,14,3,3,0,3,3372,9891,25413,51740,70236,77741,80426,79492,80564,69706,56654,46076,36974,28398,22025,17714,14015,10780,8238,6835,5225,4177,3321,2455,1835,1268,833,499,289,155,107,35,21,15,9,4,0,0,0,0,0,73,539,2300,7571,15777,28493,40697,52207,61676,60309,60631,59652,58297,55863,49060,43802,38396,32568,26523,21255,17410,14183,10866,7793,5206,3599,2336,1292,641,367,161,57,27,15,13,4,5,3,0,0,3,5,11,87,428,1409,3462,6618,10451,15456,16731,18248,19599,21295,22027,22053,23088,22665,22199,21116,19217,17300,15307,12631,10286,7375,5063,3427,2038,1126,513,268,127,32,19,13,8,0,0,0,0,0,0,0,6,26,122,333,800,1701,2954,3580,4432,5137,5714,6613,7158,7600,8245,7772,7675,7534,7209,6768,5433,5102,3895,2719,1928,1331,845,402,174,70,48,5,4,4,5,0,3,0,0,0,0,0,6,6,30,60,177,472,854,1303,1779,2266,3163,3349,3890,4339,4787,4934,5267,5217,4795,4469,4063,3430,2804,2319,1479,890,438,264,70,32,0,0,0,5,0,0,0,0
2015,3000,T,1792,5464,13208,25158,40789,54370,64903,70590,80822,90221,97150,104280,107823,105191,96760,91637,87478,79254,69758,58835,51518,46056,36997,29522,21653,15957,10938,6850,4008,2007,1132,662,363,158,106,102,44,28,3,9,25,1740,5147,12220,22534,35156,44420,50048,51147,56757,61178,62507,61860,57342,48816,39822,33479,27698,22047,17427,13321,10562,9097,6831,5318,3869,2632,1834,1137,644,351,220,165,82,37,19,27,20,4,0,4,0,52,304,929,2413,5056,8774,12881,16663,20018,24265,28684,35267,41651,45817,45791,45442,45039,41896,36144,30172,26112,22233,17048,12853,8954,6463,4178,2494,1426,652,350,197,117,61,38,46,20,11,3,4,8,0,13,59,205,541,1046,1743,2400,3367,3914,4733,5671,6948,8113,8914,9938,11361,11845,12421,11458,10851,10629,9295,7860,6051,4559,2990,1969,1154,617,327,160,108,47,27,22,4,11,0,0,11,0,0,0,6,30,119,199,321,524,695,923,1092,1380,1755,1522,1964,2390,2397,2609,2638,2684,2746,2459,2217,1724,1419,1119,704,495,187,119,76,34,9,15,4,0,4,0,0,6,0,0,0,0,6,11,33,60,157,168,303,390,502,690,711,813,991,1071,1157,1246,1310,1351,1364,1275,1055,885,816,545,289,201,115,64,21,5,8,4,0,0,0,0,0
2015,3000,U,1410,4503,10824,20963,35361,48718,59044,65296,75036,86672,95302,105114,109690,107453,98763,93446,89936,81407,71900,60537,52697,47445,38246,30427,22331,16631,11443,7149,4351,2143,1200,745,433,188,116,115,53,35,4,10,28,1370,4267,10098,18964,31007,40804,47170,49039,54989,61121,64035,64902,61123,52417,42650,35857,29901,23775,18880,14345,11367,9874,7364,5845,4187,2890,2002,1263,720,394,251,195,100,46,19,32,24,4,0,5,0,40,228,685,1876,3911,7086,10495,14176,17000,21771,26617,34188,40953,45707,46255,46219,46427,43386,37719,31545,27275,23399,18081,13736,9634,6981,4504,2696,1601,727,385,234,143,74,37,55,24,13,4,5,7,0,8,40,123,415,746,1228,1808,2596,3162,3811,4844,6226,7514,8102,9264,10994,11441,12114,11358,10607,10686,9365,7827,6124,4683,3115,2037,1262,663,340,170,132,57,32,23,5,13,0,0,14,0,0,0,0,21,75,125,225,318,521,644,864,1072,1380,1228,1523,1902,2019,2366,2394,2443,2427,2321,2047,1582,1377,1155,663,499,175,121,78,37,6,19,0,0,4,0,0,7,0,0,0,0,7,7,26,47,133,96,194,316,316,435,528,584,711,788,821,895,1006,1058,1115,971,803,700,667,490,269,184,103,68,21,6,9,5,0,0,0,0,0
2015,3000,R,3430,9696,23968,45709,67587,82116,94705,99635,114050,110846,107819,99672,97673,92847,85334,81058,73184,66683,57259,48571,44469,38172,30097,24597,17934,12324,8275,5291,2265,1308,785,266,44,21,60,39,0,0,0,0,15,3327,9019,21796,40023,55641,62167,64691,62714,66906,61510,53682,45063,36790,29165,23696,19575,14882,11953,8947,7148,5749,4685,3890,2449,2119,1239,951,481,259,133,65,22,0,0,20,0,0,0,0,0,0,103,642,2028,5045,10712,17061,25018,30303,37350,38762,40620,41224,45443,46414,43145,40901,36964,33197,26951,21895,19156,15616,11343,8040,5222,3674,2463,1443,539,266,174,22,0,0,40,0,0,0,0,0,15,0,36,145,602,1163,2519,4360,5645,7793,8286,10052,10238,10870,11386,13544,13882,13495,14204,14212,12057,12313,10302,8910,8040,5650,3887,2333,1618,604,377,262,111,0,0,0,20,0,0,0,0,0,0,0,0,38,70,336,570,844,1706,1703,2530,2350,3053,3802,3196,4547,5229,4604,4030,4112,4119,4555,3216,3142,2504,1645,929,918,475,244,109,67,22,21,0,20,0,0,0,0,0,0,0,0,0,0,34,67,130,294,585,935,797,1517,2080,1754,2153,2614,2725,3120,3359,3132,3015,2738,2926,2440,1880,1599,831,388,288,174,44,22,0,0,0,0,0,0,0,0
2015,1114,T,1737,8115,15849,28031,44769,56761,68211,75447,87107,103015,104188,107924,106684,104404,93850,87661,80174,70014,61836,55548,48663,40072,32848,27469,19805,12119,7363,5949,2978,1130,588,201,0,0,0,0,0,0,0,0,69,1737,7803,14772,25213,38737,47116,51629,55501,61232,69902,67568,61878,53151,41314,32237,24592,19966,17114,11685,11041,8441,7366,4985,3734,3505,1669,1167,458,465,0,0,0,0,0,0,0,0,0,0,0,0,0,312,1077,2521,5898,8285,14583,16585,21826,27848,30614,37635,43974,51158,50390,49882,46768,38998,33861,30813,24116,17712,15044,11645,6572,4830,2424,2105,1303,188,196,101,0,0,0,0,0,0,0,0,0,0,0,0,297,0,1113,1764,2818,3753,4462,5088,6329,6883,9545,8210,9930,10022,10101,12453,9929,11283,9558,8546,8179,6222,3513,1886,1739,744,565,196,101,0,0,0,0,0,0,0,0,69,0,0,0,0,134,247,118,542,296,624,667,1442,1453,1641,1958,2095,2331,2345,2388,2054,3187,2806,2404,2489,2454,966,718,1098,279,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,178,250,641,1224,746,1054,1164,1088,1457,1450,1712,1636,2631,1869,1422,1052,1142,1167,549,186,282,196,0,0,0,0,0,0,0,0,0,0
2015,1114,U,727,5990,11358,23601,31469,46225,54743,64615,72928,93917,99800,105409,109164,105523,98151,89892,80718,68476,63512,57803,46314,42104,32724,26520,21259,11955,7897,5065,3129,1104,580,303,0,0,0,0,0,0,0,0,101,727,5990,11127,21635,28361,39969,44509,49524,56057,69311,71596,66172,59361,46121,37287,27372,21454,18825,13169,12378,8979,8494,5536,3718,4103,2265,1295,533,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,1748,3108,4866,9097,13333,15143,21804,24436,33695,44069,50651,52036,53573,49174,40403,37175,33631,25165,20263,16239,13012,7957,5285,2978,2399,1497,276,290,151,0,0,0,0,0,0,0,0,0,0,0,0,219,0,1216,1137,1319,1461,2680,3197,4101,4566,7515,6647,7243,8603,7596,11421,9342,9570,9100,7997,7435,6092,2894,1813,1466,816,828,290,151,0,0,0,0,0,0,0,0,101,0,0,0,0,0,174,0,440,266,0,571,998,850,824,1766,1065,1274,1211,1165,1285,1890,2184,1968,1487,2114,1007,647,400,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,443,319,412,415,639,212,440,583,1168,709,2063,984,867,995,503,1165,267,136,0,0,0,0,0,0,0,0,0,0,0,0
2015,1114,R,3624,12083,24714,37387,74378,82762,103536,106250,128200,128008,116081,114450,100301,101461,82500,81679,78692,74231,57261,49359,54982,34777,33172,29879,16330,12498,6153,7887,2649,1184,604,0,0,0,0,0,0,0,0,0,0,3624,11188,21968,32772,61838,64751,70303,72500,76227,71524,56648,50739,37169,28680,18912,17136,15912,12422,7635,7372,6992,4426,3543,3774,2078,291,879,292,294,0,0,0,0,0,0,0,0,0,0,0,0,0,895,2746,4154,12108,16724,28973,25833,41193,44452,47361,47856,43728,52489,46046,39983,40214,35146,24813,23077,21294,11065,11916,8177,3266,3779,1172,1460,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,858,3409,7083,10395,9358,10215,12108,12845,14881,12334,17136,13887,16967,15270,11538,15891,10749,9984,10064,6532,4941,2051,2337,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,429,426,833,385,2340,929,2595,3006,3788,2467,4855,5208,5454,5726,4167,6674,4426,3543,5032,3266,872,879,2629,589,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0,0,334,929,1153,3553,1623,2741,2570,3472,4242,3817,3205,4132,4110,4187,2831,1188,2616,1172,1168,294,888,604,0,0,0,0,0,0,0,0,0,0
2015,1115,T,2836,5415,17652,30751,49460,63460,80261,86124,108006,109480,117812,115678,113654,109577,95911,89117,80510,71371,64237,53151,47590,36108,30576,24358,17468,9217,9433,4213,2972,1365,582,240,702,0,0,0,0,0,0,0,0,2458,5029,16323,27484,39739,48829,60629,57516,71560,69671,72819,58488,47078,37443,30166,24480,15978,13951,11731,7513,6927,5608,3145,3286,2240,1012,1250,569,343,114,0,0,0,0,0,0,0,0,0,0,0,378,387,1329,3075,8820,12102,16916,24922,29991,33741,36466,48684,56473,58179,54320,50311,46169,42601,34396,29267,26145,17049,13931,10423,7054,3147,3182,1594,1257,682,349,0,234,0,0,0,0,0,0,0,0,0,0,0,192,901,2362,1915,3243,5379,5097,6957,6784,7375,10122,9220,11625,13176,10843,13554,11998,9269,9083,9101,7364,4479,2698,3069,911,800,455,116,240,234,0,0,0,0,0,0,0,0,0,0,0,0,0,167,640,148,672,485,673,1292,1717,2457,1503,1765,4046,2471,2847,1906,3127,3137,2253,1926,1568,1686,909,569,114,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,295,403,486,898,431,1010,1376,702,935,1141,1505,1708,2467,2122,1231,2146,1360,2128,674,1023,569,457,114,116,0,117,0,0,0,0,0,0,0,0
